relative_path,kind,size_bytes,sha256
source_data/original_data/MAGE-Graph/output_1033/graph/full_output.json,text-data,119973,4be55d52131e9cd08a51be2e90b1405a2420b04fcc93586d3b8d60f866007338
source_data/original_data/MAGE-Graph/output_1034/graph/full_output.json,text-data,104459,fab4368b498a30722df656ecbf6a82ba62aeaaf00dac9fe2392f5c0fbedfb7db
source_data/original_data/MAGE-Graph/output_1035/graph/full_output.json,text-data,159525,9275bccefefcbac944382104752ff5c5f6244c98d0d8dc578245b684f18560fb
source_data/original_data/MAGE-Graph/output_1036/graph/full_output.json,text-data,124342,892b4a0f5c98f16772ba447b667571ef8197cba352ed8cc58432a29ce4eb2c72
source_data/original_data/MAGE-Graph/output_1037/graph/full_output.json,text-data,250283,8296681e6294515122943adf0ff8a744b2c95e362ca0555158379b9e122aed82
source_data/original_data/MAGE-Graph/output_1038/graph/full_output.json,text-data,168398,e593cc96445d626e413175f14cf760de4d902bca1401b848e8898ba500b2cbbf
source_data/original_data/MAGE-Graph/output_1039/graph/full_output.json,text-data,145203,effd1990514c36aeac0fe232476bf5ecb8bb8a06949a4b97b7eca0fb101ff55b
source_data/original_data/MAGE-Graph/output_104/graph/full_output.json,text-data,284674,64286ff83d9892aae5b61faece39ef3160e13d26393c8c447fb9763526999f58
source_data/original_data/MAGE-Graph/output_1040/graph/full_output.json,text-data,149555,dc14821548fd833563df47b677c60dce3465100bc466b7c144becfac18bb2a42
source_data/original_data/MAGE-Graph/output_1041/graph/full_output.json,text-data,197307,4e14151ed91236c89636c7efe68d9aaa3f3e0e32eac48844e379baa5a18a7185
source_data/original_data/MAGE-Graph/output_1042/graph/full_output.json,text-data,117867,3d876c0969198103e24818379dcf4350702ddf21e9c43eb2feda643e8f3daac2
source_data/original_data/MAGE-Graph/output_1043/graph/full_output.json,text-data,317356,01c086de518d5e1a2841ff94deb89478339c1e426c15b64acec9faa284a200c5
source_data/original_data/MAGE-Graph/output_1044/graph/full_output.json,text-data,118227,1d7c481d30c506abf28c6361fb757a450d103714614e3ead11e6a14d65656451
source_data/original_data/MAGE-Graph/output_1045/graph/full_output.json,text-data,138528,a2a7333188b77e2839bd0276c1877a9df0478d020b0752160ace9067a20356cc
source_data/original_data/MAGE-Graph/output_1046/graph/full_output.json,text-data,143529,ca7168de2761845428169907a798441205a00c77ba0f3bd2a831fb894a93459b
source_data/original_data/MAGE-Graph/output_1047/graph/full_output.json,text-data,77328,f0660c6c8fb6d78358f115ecc8ff552aa4c5eb8f0dba060489f32a99e175b4bf
source_data/original_data/MAGE-Graph/output_1048/graph/full_output.json,text-data,62034,143ed416bb4a245af7b2a7706a9418b07ad9e81d4aac9a39452c76a474cc6bc8
source_data/original_data/MAGE-Graph/output_1049/graph/full_output.json,text-data,238127,f6eff758afede2f2d074da1865973b90509dce98c108b1288ed4cf5ce521b65e
source_data/original_data/MAGE-Graph/output_105/graph/full_output.json,text-data,188841,7ef50c256651533a2a716502de0d0b713a96df45f8e292d94b3de34325fc58d8
source_data/original_data/MAGE-Graph/output_1050/graph/full_output.json,text-data,164680,cc4a6f5c456e1a5999c7cc65ab6b9d6e1d2c989ca41eaac9567c333ecb669214
